Time (s),GPU Power (W),CPU Power (W),Total Power (W),Average Power (W),GPU Memory Used (GB)
0.0458515,25.21,0.98693,25,25,0.204102
0.335586,25.92,55.6542,80,52,0.204102
0.490335,30.49,100.245,130,78,0.204102
0.6269,31.37,37.7453,68,75,0.204102
0.77396,31.37,40.9484,71,74,0.204102
0.916481,31.37,34.5983,65,73,0.204102
1.06349,31.37,36.1644,67,72,0.204102
1.21047,31.37,33.3337,64,71,0.204102
1.4842,31.37,37.3931,68,70,0.204102
1.6314,41.44,88.7577,129,76,0.204102
1.78595,41.44,35.5413,76,76,0.204102
1.92016,41.44,33.4838,74,76,0.204102
2.07257,41.44,36.2298,77,76,0.204102
2.20548,41.44,44.0221,85,77,0.204102
2.35828,41.44,39.0185,80,77,0.204102
2.50089,41.44,30.0744,71,76,0.204102
2.64568,46.84,56.563,102,78,0.204102
2.80032,46.84,35.783,81,78,0.204102
2.95566,46.84,36.4086,82,78,0.204102
3.11171,46.84,29.9004,75,78,0.204102
3.26348,46.84,31.3702,77,78,0.204102
3.42254,46.84,30.1153,76,78,0.204102
3.56643,50.37,33.908,83,78,0.204102
3.86254,50.37,34.779,84,78,0.204102
4.0117,50.37,99.99,149,81,0.204102
4.17688,50.37,28.6596,78,81,0.204102
4.33247,50.37,30.0024,80,81,0.204102
4.48962,50.37,33.8506,83,81,0.204102
4.63561,17.34,29.3261,46,80,0.204102
4.78655,17.34,42.2771,59,79,0.204102
5.13627,17.34,42.3955,59,78,0.204102
5.27087,17.34,171.225,188,82,0.204102
5.41305,17.34,49.5586,66,81,0.204102
5.54739,17.34,47.5719,64,81,0.204102
5.69458,18.86,36.5551,54,80,0.204102
5.8493,18.86,42.4865,60,79,0.204102
6.00726,18.86,34.3981,52,79,0.204102
6.32323,18.86,33.0431,51,78,0.204102
6.45864,18.86,112.812,130,79,0.204102
6.60577,26.1,33.4069,59,79,0.204102
6.74864,26.1,29.707,55,78,0.204102
6.89469,33.99,32.8972,65,78,0.204102
7.04356,34.52,30.7604,64,77,0.204102
7.18133,35.37,32.5158,67,77,0.204102
7.32677,35.72,29.2449,64,77,0.204102
7.50813,36.69,59.5232,95,77,0.204102
7.64262,37.14,58.336,95,78,0.204102
7.77459,43.23,72.0567,115,78,0.204102
7.92773,43.23,43.5424,86,79,0.204102
8.07122,43.23,33.8079,76,79,0.204102
8.21509,43.23,31.5801,74,78,0.204102
8.35575,43.23,29.024,72,78,0.204102
8.50528,43.23,33.0303,76,78,0.204102
8.66734,52.68,49.1411,101,79,0.204102
8.82081,52.68,48.0809,100,79,0.204102
8.96369,52.68,33.0627,85,79,0.204102
9.10936,52.68,31.9811,83,79,0.204102
9.25305,52.68,29.5367,81,79,0.204102
9.41407,52.68,32.7825,84,79,0.204102
9.56097,52.68,29.2779,81,79,0.204102
9.86079,49.85,34.1656,83,79,0.204102
10.0114,49.85,143.079,192,81,0.204102
10.1593,49.85,51.5984,100,81,0.204102
10.319,49.85,43.5106,92,82,0.204102
