Time (s),GPU Power (W),CPU Power (W),Total Power (W),Average Power (W),GPU Memory Used (GB)
0.0412996,36.13,0,36,36,0.204102
0.187219,36.13,50.7225,86,61,0.204102
0.34852,36.13,31.3506,67,63,0.204102
0.491585,36.13,34.3316,70,64,0.204102
0.758362,36.13,31.7004,67,65,0.204102
0.90211,40.14,118.369,158,80,0.204102
1.05278,40.14,35.6347,75,79,0.204102
1.21347,40.96,32.2069,72,78,0.204102
1.35287,40.94,38.6083,78,78,0.204102
1.49291,40.91,42.567,82,79,0.204102
1.63095,39.78,63.8927,102,81,0.204102
1.76747,38.37,60.6187,98,82,0.204102
2.02825,30.73,67.0366,97,83,0.204102
2.17272,29.76,105.564,134,87,0.204102
2.31642,29.76,38.5656,67,85,0.204102
2.47209,29.76,37.9345,66,84,0.204102
2.6207,29.76,33.1957,62,83,0.204102
2.76219,29.76,64.0159,93,83,0.204102
2.90914,29.76,60.1079,89,84,0.204102
3.22007,29.76,33.0846,62,83,0.204102
3.37427,28.77,114.718,142,85,0.204102
3.51678,28.77,34.7063,62,84,0.204102
3.66907,28.77,40.9649,68,84,0.204102
3.81873,28.77,33.5943,61,83,0.204102
3.97936,28.77,31.6924,59,82,0.204102
4.13642,33.7,32.6476,65,81,0.204102
4.40178,33.7,44.8546,77,81,0.204102
4.55475,33.7,149.434,182,84,0.204102
4.70719,33.7,30.2141,63,84,0.204102
4.86416,33.7,32.0306,65,83,0.204102
5.00719,33.7,33.8555,66,82,0.204102
5.15438,39.18,32.5487,71,82,0.204102
5.29543,39.18,32.102,71,82,0.204102
5.55513,39.18,40.1647,79,82,0.204102
5.68976,39.18,161.439,200,85,0.204102
5.83008,39.18,34.8028,73,85,0.204102
5.99091,39.18,31.477,70,84,0.204102
6.12389,41.03,72.725,113,85,0.204102
6.25926,41.03,71.2657,112,86,0.204102
6.40333,41.03,62.9149,103,86,0.204102
6.54775,41.03,57.0348,98,86,0.204102
6.80695,41.03,67.2746,108,87,0.204102
6.96567,41.03,127.036,168,89,0.204102
7.11795,31.44,32.0013,63,88,0.204102
7.26936,31.44,34.1711,65,88,0.204102
7.41841,31.44,27.9321,58,87,0.204102
7.55825,31.44,41.3616,72,87,0.204102
7.70413,31.44,35.9966,66,86,0.204102
8.03164,31.44,38.8305,69,86,0.204102
8.184,17.29,154.347,171,88,0.204102
8.3181,15.75,53.25,68,87,0.204102
8.45152,16.86,74.5256,90,87,0.204102
8.58372,18.62,52.6201,70,87,0.204102
8.73673,19.34,42.4505,61,86,0.204102
8.89359,20.52,50.7286,70,86,0.204102
9.21737,21.02,53.8628,74,86,0.204102
9.37542,30.2,144.99,174,87,0.204102
9.50913,30.2,46.7485,76,87,0.204102
9.64225,30.2,89.6122,119,88,0.204102
9.77473,30.2,53.1126,83,88,0.204102
9.92831,30.2,39.7735,69,87,0.204102
